ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
322,B,,4,0,0,2,1
323,B,,2,1,0,2,2
324,B,,4,0,0,2,1
325,B,,2,1,0,2,2
326,B,,2,1,1,4,0
327,B,,2,1,0,2,2
328,B,,2,2,1,4,0
329,B,,4,0,0,2,1
330,B,,2,1,1,4,0
331,B,,4,0,0,2,1
332,B,,2,2,1,4,0
333,B,,2,2,1,4,0
334,B,,2,1,0,2,2
335,B,,2,2,1,4,0
336,A,TrackedColla_3,2,1,0,2,2
337,B,,2,1,0,2,2
338,B,,2,1,1,4,0
339,B,,4,0,0,2,1
340,B,,2,1,1,4,0
341,B,,4,0,0,2,1
342,B,,2,1,1,4,0
343,B,,2,1,0,2,2
344,B,,2,2,1,4,0
345,B,,4,0,0,2,1
346,B,,4,0,0,2,1
347,B,,2,1,1,4,0
348,B,,2,1,1,4,0
349,B,,4,0,0,2,1
350,B,,2,1,0,2,2
351,B,,2,2,1,4,0
352,B,,4,0,0,2,1
353,B,,4,0,0,2,1
354,B,,2,2,1,4,0
355,B,,2,1,0,2,2
356,B,,2,1,1,4,0
357,B,,2,2,1,4,0
358,B,,2,1,0,2,2
359,B,,4,0,0,2,1
360,B,,4,0,0,2,1
361,B,,2,2,1,4,0
362,B,,2,2,1,4,0
363,B,,2,1,0,2,2
364,A,TrackedColla_3,2,1,1,4,0
365,B,,4,0,0,2,1
